,Index1,Metro_Num
1308,1821,3
1309,1823,6
1310,1824,2
1311,1825,4
1312,1826,1
1313,1827,6
1314,1828,2
1315,1829,2
1316,1831,2
1317,1832,2
1318,1834,3
1319,1837,2
1320,1838,2
1321,1839,2
1322,1840,2
1323,1842,1
1324,1843,1
1325,1844,2
1326,1845,5
1327,1846,1
1328,1847,1
1329,1848,1
1330,1850,1
1331,1852,3
1332,1853,1
1333,1854,2
1334,1855,2
1335,1856,1
1336,1858,2
1337,1861,2
1338,1866,2
1339,1867,1
1340,1868,1
1341,1869,2
1342,1870,2
1343,1872,1
1344,1873,1
1345,1876,1
1346,1877,2
1347,1878,2
1348,1880,3
1349,1881,4
1350,1884,1
1351,1885,4
1352,1887,2
1353,1889,2
1354,1890,2
1355,1891,3
1356,1892,2
1357,1893,3
1358,1894,1
1359,1895,2
1360,1897,2
1361,1900,1
1362,1901,6
1363,1902,1
1364,1903,1
1365,1904,1
1366,1906,2
1367,1909,6
1368,1911,1
1369,1912,1
1370,1913,1
1371,1914,1
1372,1915,1
1373,1916,1
1374,1917,1
1375,1919,1
1376,1920,1
1377,1923,1
1378,1924,1
1379,1926,2
1380,1928,1
1381,1929,2
1382,1930,2
1383,1931,1
1384,1932,2
1385,1933,2
1386,1935,2
1387,1936,2
1388,1937,3
1389,1939,2
1390,1940,1
1391,1941,2
1392,1942,2
1393,1945,2
1394,1946,3
1395,1947,1
1396,1948,1
1397,1950,2
1398,1951,1
1399,1952,2
1400,1953,3
1401,1954,6
1402,1955,1
1403,1956,6
1404,1957,1
1405,1958,2
1406,1960,2
1407,1965,1
1408,1966,1
1409,1967,1
1410,1968,1
1411,1969,1
1412,1970,1
1413,1974,1
1414,1975,2
1415,1977,4
1416,1978,2
1417,1979,2
1418,1980,1
1419,1981,2
1420,1982,1
1421,1983,1
1422,1984,3
1423,1985,2
1424,1988,4
1425,1989,1
1426,1991,4
1427,1992,1
1428,1993,4
1429,1994,1
1430,1995,3
1431,1996,4
1432,1997,1
1433,1998,4
1434,1999,2
1435,2002,1
1436,2003,6
1437,2004,2
1438,2005,1
1439,2006,2
1440,2007,2
1441,2008,2
1442,2009,1
1443,2011,1
1444,2013,1
1445,2014,1
1446,2015,2
1447,2016,2
1448,2017,6
1449,2018,6
1450,2019,2
1451,2020,1
1452,2021,1
1453,2022,2
1454,2023,1
1455,2025,7
1456,2026,5
1457,2027,5
1458,2028,1
1459,2029,1
1460,2030,2
1461,2031,5
1462,2032,2
1463,2033,2
1464,2035,2
